Ticker,Last Close,DoD %,WoW %,MoM %,DoD Abs,WoW Abs,MoM Abs
Dow Jones Industrials (US),44176.6484375,-1.0104543127442795,-1.1960728022738871,-0.8715836691747618,-450.94140625,-534.78125,-388.421875
S&P 500 (US),6117.52001953125,-0.43341850761716855,0.04006814939047785,-0.01944758640051111,-26.6298828125,2.4501953125,-1.18994140625
NASDAQ 100 (US),22068.060546875,-0.48494320060927043,0.16953429002340836,0.7631222133478209,-107.5390625,37.349609375,167.130859375
Nikkei 225 (JP),38678.0390625,-1.2423724384459025,-1.9853029101964177,-3.205375918265959,-486.5703125,-783.4296875,-1280.83203125
FTSE 100 (UK),8663.0,-0.5681492109038737,-1.1603385517611986,1.141827423263535,-49.5,-101.7001953125,97.7998046875
STOXX 50 (EU),551.010009765625,-0.19742182005274161,-0.4948063628668171,3.897496297368735,-1.0899658203125,-2.739990234375,20.66998291015625
CAC 40 (FR),8122.580078125,0.14844928949875097,-0.5086872402713932,2.913741066990265,12.0400390625,-41.52978515625,229.97021484375
DAX (GERMANY),22314.650390625,-0.5303665264701373,-1.3150932415126981,4.217919613438402,-118.98046875,-297.369140625,903.12109375
CSI 300 (CN),3928.89990234375,-0.2857754511693645,0.6084291579613281,3.2904434170239654,-11.260009765625,23.760009765625,125.159912109375
Hang Seng Index (HK),22576.98046875,-1.600662135130421,3.4959128233728536,14.600700904072864,-367.259765625,762.611328125,2876.419921875
KOSPI Index (KR),2654.06005859375,-0.653559052893175,2.7443079186712667,5.508671030190188,-17.4599609375,70.89013671875,138.570068359375
NIFTY 50 (IN),22913.150390625,-0.08612081186239237,-0.5134294832030014,-1.2591890390306857,-19.75,-118.25,-292.19921875
SENSEX (IN),75735.9609375,-0.26760724942812475,-0.5293055830888175,-1.0251149382277538,-203.21875,-403.0078125,-784.421875
Taiwan Weighted Index (TW),23487.4609375,-0.49406348495265606,0.3762948752213806,0.0,-116.619140625,88.05078125,0.0
CBOE Volatility Index,15.65999984741211,2.554023431283864,3.708605641027649,4.26098115940888,0.3899993896484375,0.5599994659423828,0.6399993896484375
Gold Futures,2919.39990234375,-0.41616164913672193,0.3575078151856308,5.4848894107227455,-12.2001953125,10.39990234375,151.7998046875
Brent Futures,76.04000091552734,0.2637191288164579,1.1439220628632474,-3.7468342841426026,0.20000457763671875,0.8600006103515625,-2.9599990844726562
US Dollar Index,106.33999633789062,-0.7744721892653698,-0.9039243712343594,-1.5826068168161593,-0.8300018310546875,-0.970001220703125,-1.7100067138671875
GBPUSD,1.2625784873962402,0.034096277687641445,1.3989453865400165,2.3540825516204933,0.0004303455352783203,0.017419099807739258,0.029038548469543457
EURUSD,1.044833779335022,-0.3531586340879541,0.8045199689467782,0.407486151828859,-0.003702998161315918,0.0083388090133667,0.004240274429321289
AUDUSD,0.6353119015693665,-0.04701897891919928,0.8703775241572799,1.454865724251798,-0.0002988576889038086,0.005481898784637451,0.00911039113998413
USDJPY,151.93099975585938,0.32157068681074547,-0.5290061252341806,-2.4670370332276894,0.48699951171875,-0.8079986572265625,-3.8430023193359375
USDCNY,7.278600215911865,0.35296338228436497,-0.39139122031538254,0.10177186262116682,0.025600433349609375,-0.02859973907470703,0.007400035858154297
USDTWD,32.72129821777344,0.04493902906271041,-0.24997709086020678,0.42136811173419814,0.014698028564453125,-0.082000732421875,0.137298583984375
USDKRW,1440.0799560546875,-0.08395832726351245,-0.7354846765681544,1.002245534102872,-1.2100830078125,-10.6700439453125,14.2899169921875
Bitcoin,96635.609375,1.1472343504350537,-1.2772529229276126,-6.770142858617987,1096.0625,-1250.25,-7017.4609375
 10y UST,4.5,-0.7717717439854377,-0.5524882837687902,-2.9754206792492868,-0.034999847412109375,-0.02500009536743164,-0.1380000114440918
